Name,Desc,SunNeeds,WaterNeeds,Maintenance,Type de Sol,SunNeeds_Score,WaterNeeds_Score,Maintenance_score,saison,plant_categories,min_height_cm,max_height_cm,min_ph,max_ph
Nelumbo (Lotus),"Nelumbo est un genre de plantes aquatiques ne comptant que deux espèces : Nelumbo nucifera et Nelumbo lutea, de la famille des Nelumbonacées. Le lotus sacré (nucifera) est originaire d’Asie tropicale, tandis que le lotus jaune (lutea) vient d’Amérique du Nord. Leurs feuilles rondes flottent ou émergent au-dessus de l’eau, et leurs grandes fleurs, rose ou jaunes, sont tenues par de longs pédoncules.",Plein soleil,Moyenne,Faible,Argile,1.0,1.0,0.0,"Printemps, Été",Vivaces,80.0,213.36,,
Kariota (Caryota),"Le Kariota, aussi appelé Palmier queue de poisson, est un palmier tropical caractérisé par ses feuilles uniques en forme de nageoire. Il préfère une exposition à la mi-ombre ou à l’ombre, car un soleil direct peut endommager son feuillage. Il nécessite un sol riche, bien drainé et un arrosage fréquent pour maintenir une bonne humidité. Son entretien comprend la suppression des feuilles sèches et un apport régulier en nutriments. Il est idéal pour les intérieurs lumineux ou les jardins tropicaux protégés.","Mi-ombre, Ombre",Elevée,Moyen,"Argile, Limon",0.5,2.0,0.5,Été,Arbres,300.0,1000.0,5.5,6.5
Lierre grimpant (Hedera helix),"Le Lierre grimpant est une plante vivace résistante qui pousse aussi bien à l’ombre qu’à la mi-ombre. Il préfère un sol frais et bien drainé et nécessite un arrosage modéré. Très facile à entretenir, il demande peu d’attention, à part une taille occasionnelle pour limiter son expansion, car il peut devenir envahissant s’il n’est pas contrôlé.","Mi-ombre, Ombre",Moyenne,Faible,"Argile, Limon",0.5,1.0,0.0,Automne,"Arbustes, Grimpantes",50.0,1000.0,5.5,6.5
Dracaena à larges feuilles (Dracaena fragrans),"Le Dracaena fragrans est une plante d’intérieur populaire qui tolère des conditions de faible luminosité mais préfère la mi-ombre. Il nécessite un sol bien drainé et un arrosage modéré, en laissant sécher légèrement le substrat entre deux arrosages. Son entretien est facile : il suffit de nettoyer ses feuilles de temps en temps pour enlever la poussière et de tailler les tiges si nécessaire pour contrôler sa croissance.","Mi-ombre, Ombre",Moyenne,Faible,"Argile, Limon",0.5,1.0,0.0,"Printemps, Été","Arbustes, Arbres",50.0,300.0,5.5,6.5
Bananier du Japon (Musa basjoo),"Le Bananier du Japon est une variété rustique de bananier, capable de résister au froid jusqu'à environ -10°C, à condition de protéger son pied en hiver. Il préfère une exposition en plein soleil ou en mi-ombre et nécessite un sol riche et bien drainé avec un arrosage fréquent, surtout en période de croissance. Son entretien comprend une fertilisation régulière, l’élimination des feuilles sèches et, dans les régions froides, une protection hivernale pour assurer sa repousse au printemps.","Plein soleil, Mi-ombre",Elevée,Moyen,"Argile, Limon",1.5,2.0,0.5,Été,"Vivaces, Herbes",200.0,500.0,5.5,6.5
Photinie (Photinia),"La Photinie est un arbuste à feuillage persistant, apprécié pour ses jeunes pousses rouges vives qui contrastent avec le feuillage vert mature. Elle prospère en plein soleil ou à mi-ombre et s’adapte à divers types de sols bien drainés. Son arrosage doit être modéré, avec un peu plus d’eau en période de croissance. Son entretien est simple : une taille légère au printemps et en été pour stimuler la coloration du feuillage et maintenir une belle forme. Résistante, elle tolère bien la pollution et les conditions urbaines.","Plein soleil, Mi-ombre",Moyenne,Faible,"Argile, Limon",1.5,1.0,0.0,Printemps,"Arbustes, Arbres",100.0,400.0,5.5,6.5
Citron Ponderosa,"Le Citron Ponderosa est un agrume hybride qui produit de très gros citrons. Il a besoin d'une exposition en plein soleil et d’un sol bien drainé. Son arrosage doit être régulier mais modéré, en évitant l’excès d’humidité. Son entretien inclut une taille occasionnelle pour maintenir sa forme et une fertilisation adaptée pour encourager la fructification. Il doit être protégé du gel en hiver dans les régions froides.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,"Printemps, Automne, Été, Hiver","Arbustes, Arbres",100.0,500.0,5.5,6.5
Citronnier vert (Citrus aurantifolia),"Le Citronnier vert, aussi connu sous le nom de lime ou lime acide, prospère en plein soleil et nécessite un sol bien drainé. Son arrosage doit être modéré mais régulier, en évitant les excès d'eau. Il demande une fertilisation périodique pour assurer une bonne production de fruits. L’entretien inclut une taille légère pour stimuler la croissance et une protection contre le gel en hiver si cultivé en extérieur dans une région froide.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,Printemps,"Arbustes, Arbres",100.0,500.0,5.5,6.5
Kumquats de Nagami (Citrus margarita),"Le Kumquat de Nagami est un agrume résistant qui prospère en plein soleil et préfère un sol bien drainé. Il nécessite un arrosage régulier, surtout en période de croissance et de fructification, mais il faut éviter l’excès d’eau. Son entretien comprend une taille légère après la récolte pour favoriser une croissance harmonieuse, ainsi qu’une fertilisation adaptée aux agrumes. Il tolère mieux le froid que d’autres agrumes, mais une protection est conseillée en cas de gel sévère.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,"Printemps, Hiver","Arbustes, Arbres",100.0,300.0,5.5,6.5
Kumquat (Fortunella margarita),"Le Kumquat est un agrume compact et décoratif qui prospère en plein soleil et nécessite un sol bien drainé. Il demande un arrosage régulier mais modéré, en évitant l’excès d’eau. Son entretien inclut une taille légère après la fructification pour encourager la ramification et une fertilisation adaptée pour optimiser la production de fruits. Il tolère mieux le froid que d'autres agrumes, mais une protection hivernale est conseillée en cas de gel important.",Plein soleil,Moyenne,Moyen,"Argile, Limon, Sable",1.0,1.0,0.5,"Printemps, Hiver","Arbustes, Arbres",100.0,300.0,5.5,6.5
