ID;Nom;Taille;SunNeeds;WaterNeeds;Maintenance;Desc
1;Calla (Zantedeschia);M;Full sun, Partial sun;Average;Low;Le Calla, aussi appelé Arum, est une plante élégante appréciée pour ses fleurs en forme de coupe. Il prospère en plein soleil ou à mi-ombre et préfère un sol riche et bien drainé. Son arrosage doit être régulier mais modéré, en maintenant le sol légèrement humide sans excès. Son entretien est simple : retirer les fleurs fanées pour prolonger la floraison et protéger les bulbes du gel en hiver si cultivé en extérieur dans une région froide.
2;Aralia du Japon (Fatsia japonica);M;Partial sun, Shade;High;Low;L'Aralia du Japon est une plante d'ombre ou de mi-ombre, qui apprécie un sol frais et bien drainé, nécessitant un arrosage régulier. Elle est facile d'entretien et résistante, ce qui en fait une plante à faible maintenance.
3;Hortensia blanche (Hydrangea macrophylla);M;Partial sun, Shade;High;Medium;L'Hortensia préfère la mi-ombre ou l'ombre et nécessite un arrosage fréquent, surtout en période de chaleur. Il demande une taille régulière pour favoriser la floraison et l'entretien du buisson.
4;Verveine rouge (Verbena hybrida Superbena Royale Red);M;Full sun;Average;Low;La Verveine rouge est une plante vivace ou annuelle qui prospère sous une exposition en plein soleil et dans un sol bien drainé. Elle nécessite un arrosage modéré, en laissant le sol sécher légèrement entre deux arrosages. Son entretien est simple : il suffit de retirer les fleurs fanées pour encourager une floraison continue et d'effectuer une légère taille si nécessaire. Résistante à la chaleur et attirant les pollinisateurs, elle est idéale pour les massifs et les jardinières.
5;Verveine blanche (Verbena hastata 'Alba);M;Full sun, Partial sun;Average;Low;La Verveine hastata 'Alba' est une plante vivace qui aime le plein soleil ou la mi-ombre. Elle préfère un sol bien drainé et un arrosage modéré. Son entretien est minimal, avec simplement une taille des fleurs fanées pour prolonger la floraison.
6;Verveine violette (Verbena speciosa);M;Full sun, Partial sun;Average;Low;La Verveine speciosa est une plante vivace qui prospère en plein soleil ou en mi-ombre. Elle préfère un sol bien drainé et un arrosage modéré. Peu exigeante, elle nécessite peu d’entretien, si ce n’est une taille légère pour encourager une floraison abondante.
7;Coleus rouge (Coleus verschaffeltii);M;Partial sun, Shade;Average;Medium;Le Coleus rouge est une plante appréciée pour son feuillage décoratif. Il préfère la mi-ombre ou l’ombre, car une exposition trop ensoleillée peut brûler ses feuilles. Il nécessite un sol humide mais bien drainé et un arrosage régulier. L’entretien consiste principalement à pincer les tiges pour favoriser la ramification et à retirer les fleurs pour prolonger la beauté du feuillage.
8;Coleus;M;Partial sun, Shade;Average;Medium;Le Coleus est une plante ornementale principalement cultivée pour son feuillage coloré. Il préfère la mi-ombre ou l'ombre, car un soleil direct peut ternir ses couleurs et brûler ses feuilles. Il nécessite un sol bien drainé et un arrosage modéré pour rester en bonne santé. Un entretien régulier, comme le pincement des tiges pour favoriser la ramification et l’élimination des fleurs, permet de prolonger la beauté du feuillage.
9;Canna tuerckheimii;M;Full sun, Partial sun;High;Medium;Le Canna tuerckheimii est une plante tropicale spectaculaire qui préfère une exposition en plein soleil ou en mi-ombre. Il a besoin d'un sol riche et humide, nécessitant un arrosage fréquent, surtout en période de chaleur. L’entretien comprend l’élimination des fleurs fanées et, dans les climats froids, la protection des rhizomes en hiver pour assurer une bonne repousse au printemps.
10;Cana;M;Full sun;Average;Medium;Le Canna est une plante à floraison tropicale qui prospère en plein soleil et préfère un sol riche et bien drainé. Il nécessite un arrosage régulier, surtout en période de croissance et de floraison. Son entretien comprend l’élimination des fleurs fanées pour prolonger la floraison et une fertilisation régulière. Dans les régions aux hivers froids, les rhizomes doivent être protégés ou déterrés avant le gel pour être replantés au printemps.
