name,commonName,Family,brightness,temperature,solHumidity,watering,suggestedSoilMix,description
Abutilon hybridum,"Chinese bellflower, flowering maple, parlor maple",Malvaceae,1.0,1.0,3.0,2.0,1.0,"Abutilon × hybridum is a species name used for a wide variety of different types flowering plants of uncertain origin in the genus Abutilon.[1][2][3] Because of the uncertainty surrounding the name, they are often considered a cultivar group: Abutilon x Hybridum Group or Abutilon Hybridum Group. They are cultigens, not occurring in the wild.[4][5] As with the larger genus Abutilon generally, they have been referred to by the common names Chinese lantern,[6][7] and parlour maple."
Achimenes hybrids ,"Magic Flower,Hot-water plant, window's tears, cupid's bower",Gesneriaceae,3.0,3.0,3.0,1.0,7.0,
Acorus calamus,Sweet Flag,Acoraceae,4.0,3.0,3.0,1.0,2.0,
Acorus gramineus,Miniature Sweet Flag,Acoraceae,4.0,3.0,3.0,1.0,2.0,
Adiantum raddianum,Maidenhair Fern,Pteridaceae,4.0,3.0,1.0,1.0,6.0,
Adromischus cristatus,Crinkle-Leaf Plant,Crassulaceae,4.0,3.0,3.0,2.0,5.0,"Adromischus cristatus is a species of succulents from the family Crassulaceae, endemic to the eastern cape of South Africa. It is a perennial with short erect branches 20–50 mm long covered with fine aerial roots. Leaves are green to gray-green, with undulating margin, and generally measuring 20–40 × 5–13 mm. During the springtime, it sends up long narrow stalks for its flowers, which are tubular in shape and white in color with hints of red. Common names for this plant include ""Key Lime Pie"" and ""Crinkle Leaf Plant."""
Adromischus festivus,Plover Eggs,Crassulaceae,4.0,3.0,3.0,2.0,5.0,"Adromischus festivus is a dwarf succulent, up to 7 cm tall, leaves 2.5 to 5 cm long. Form groups of stems."
Aechmea fasciata,Silver Vase,Bromeliaceae,4.0,3.0,3.0,2.0,3.0,"Aechmea fasciata is a species of flowering plant in the Bromeliaceae family.[2] It is commonly called the silver vase or urn plant and is native to Brazil. This plant is probably the best known species in this genus, and it is often grown as a houseplant in temperate areas."
Aechmea miniata ‘Discolor’,Purplish Coral Berry,Bromeliaceae,4.0,3.0,3.0,2.0,3.0,Aechmea miniata is a species of flowering plant in the Bromeliaceae family. This species is native to the state of Bahia in eastern Brazil
Aechmea ‘Royal Wine’,Royal Wine Bromeliad,Bromeliaceae,4.0,3.0,3.0,1.0,3.0,
